what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1538123132219
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1538123146680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1538123147382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1538123154433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1538123161204
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1538123196600
error,log,,,"Internal Error",1538123196663
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1538123202840
error,log,,,"Unexpected runtime error while computing a text hover",1538123204525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1538123268267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1538123268953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1538123280497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1538123366157
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1538123376609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1538123383753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1538123394658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1538123417807
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1538123428181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1538123429679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1538123459709
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1538123602340
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1538123602761
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1538127323017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1538127328932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1538132800850
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1538182061376
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1538182061376
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1538182061376
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1538182061376
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1538182061376
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1538182061376
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1538182061376
